txn_id,account_id,txn_date,txn_type,amount,channel
T000150,A00996,4/29/2024,Credit,383268.85,UPI
T000151,A01027,5/21/2024,Debit,403635.51,Branch
T000152,A01079,9/24/2023,Debit,156915.97,NEFT
T000153,A00252,6/1/2024,Debit,168492.56,UPI
T000154,A00963,11/7/2024,Debit,461920.61,UPI
T000155,A01090,9/13/2024,Credit,60180.95,IMPS
T000156,A01092,12/7/2024,Debit,421669.59,UPI
T000157,A00599,1/9/2024,Debit,388631.58,IMPS
T000158,A00926,7/26/2025,Credit,199395.38,UPI
T000159,A00754,10/9/2024,Debit,74561.12,IMPS
T000160,A00135,4/14/2024,Debit,293846.84,UPI
T000161,A00386,2/5/2024,Debit,386595.11,UPI
T000162,A00938,12/26/2024,Credit,424896.79,ATM
T000163,A00179,9/12/2025,Credit,136023.54,UPI
T000164,A00165,3/29/2025,Debit,449507.05,UPI
T000165,A00801,11/17/2024,Debit,427333,UPI
T000166,A00367,7/23/2025,Credit,416281.73,IMPS
T000167,A00591,7/13/2024,Debit,82206.31,ATM
T000168,A00158,5/31/2025,Credit,376191.19,ATM
T000169,A00224,2/25/2025,Credit,588.99,ATM
T000170,A00338,9/7/2025,Credit,333891.4,IMPS
T000171,A00566,2/21/2025,Credit,256997.91,NEFT
T000172,A00230,1/17/2025,Debit,300236.18,IMPS
T000173,A00304,10/27/2023,Debit,453678.78,IMPS
T000174,A01017,12/4/2024,Credit,194704.22,Branch
T000175,A00309,7/5/2025,Credit,499221.9,ATM
T000176,A00419,10/16/2024,Credit,58480.29,IMPS
T000177,A01067,10/14/2023,Debit,489827.31,ATM
T000178,A00047,3/13/2025,Credit,193655,IMPS
T000179,A00601,3/19/2024,Credit,101109.13,UPI
T000180,A00854,1/16/2024,Credit,40698.93,ATM
T000181,A01109,6/20/2024,Debit,96747.11,NEFT
T000182,A00271,11/19/2024,Debit,305983.74,UPI
T000183,A00971,7/14/2025,Debit,411797.92,Branch
T000184,A00711,8/7/2025,Credit,411680.06,Branch
T000185,A00861,10/1/2024,Debit,12840.12,NEFT
T000186,A00910,9/20/2024,Credit,472677.22,ATM
T000187,A00044,11/4/2024,Debit,187658.2,NEFT
T000188,A00598,10/2/2023,Credit,28087.53,NEFT
T000189,A00388,1/31/2025,Debit,324177.77,Branch
T000190,A00129,11/1/2024,Credit,40144.21,IMPS
T000191,A00046,9/2/2025,Debit,314968.03,Branch
T000192,A00476,6/13/2024,Credit,36674.08,Branch
T000193,A01065,4/22/2024,Credit,368891.4,UPI
T000194,A00688,1/26/2024,Debit,27256.34,ATM
T000195,A00844,5/22/2025,Debit,203954.74,NEFT
T000196,A01186,11/28/2023,Credit,88676.88,UPI
T000197,A00703,11/26/2024,Credit,314805.66,ATM
T000198,A00669,5/18/2025,Credit,98030.17,IMPS
T000199,A00996,12/24/2023,Debit,291272.97,Branch
T000200,A01086,7/11/2024,Debit,221712.48,ATM
T000201,A01124,5/1/2024,Credit,205626.37,UPI
T000202,A00912,1/9/2025,Credit,71909.69,Branch
T000203,A00938,12/8/2024,Credit,365015.19,UPI
T000204,A00623,1/25/2025,Credit,110333.33,UPI
T000205,A01162,8/12/2024,Credit,139972.13,ATM
T000206,A00271,10/18/2023,Debit,8507.27,UPI
T000207,A00628,7/17/2024,Credit,247684.87,IMPS
T000208,A00352,11/21/2023,Credit,221403.2,Branch
T000209,A00533,11/20/2024,Debit,140822.33,Branch
T000210,A00465,5/17/2024,Debit,81239.91,ATM
T000211,A00992,4/4/2025,Debit,357186.25,ATM
T000212,A00762,10/17/2023,Credit,224567.64,NEFT
T000213,A00591,4/30/2025,Credit,69951.28,UPI
T000214,A00097,4/15/2024,Debit,201669.29,IMPS
T000215,A00304,11/1/2023,Debit,431521.85,NEFT
T000216,A00724,4/11/2025,Credit,335729.57,IMPS
T000217,A00583,3/17/2024,Credit,298196.37,ATM
T000218,A00934,4/4/2025,Credit,172340.79,ATM
T000219,A00341,5/9/2024,Debit,277776.7,IMPS
T000220,A00330,11/5/2024,Credit,46125.55,Branch
T000221,A01097,1/20/2024,Credit,436236.93,ATM
T000222,A00585,4/12/2024,Credit,362521.58,ATM
T000223,A00374,5/16/2025,Credit,413020.41,IMPS
T000224,A00360,3/25/2025,Debit,461422.17,IMPS
T000225,A00315,12/27/2024,Debit,461552.72,ATM
T000226,A00331,1/2/2025,Credit,490993.03,UPI
T000227,A00488,3/8/2025,Credit,282754.14,ATM
T000228,A00240,2/3/2024,Credit,466249.34,IMPS
T000229,A00085,1/24/2025,Debit,33490.38,UPI
T000230,A00649,1/6/2025,Credit,388892.16,IMPS
T000231,A01177,2/15/2024,Credit,11465.26,ATM
T000232,A00260,11/20/2024,Debit,468293.58,NEFT
T000233,A00903,7/6/2024,Credit,337348.75,ATM
T000234,A00534,11/26/2024,Debit,131473.26,ATM
T000235,A00758,12/27/2023,Credit,485151.46,NEFT
T000236,A00378,7/9/2025,Debit,99299.78,Branch
T000237,A00421,9/25/2024,Credit,226987.83,UPI
T000238,A01152,4/22/2024,Credit,44684.5,UPI
T000239,A00072,8/5/2025,Debit,66419.57,UPI
T000240,A00650,2/3/2024,Credit,465700.17,IMPS
T000241,A00705,6/2/2024,Debit,179003.68,IMPS
T000242,A00303,11/29/2023,Debit,465312.46,UPI
T000243,A00764,12/14/2024,Credit,101389.02,NEFT
T000244,A00919,9/11/2025,Credit,457918.11,NEFT
T000245,A01106,5/23/2025,Debit,200716.02,IMPS
T000246,A00333,2/10/2025,Credit,233649.67,Branch
T000247,A01093,5/15/2025,Debit,463590.69,UPI
T000248,A00618,10/17/2024,Credit,232181.09,ATM
T000249,A00249,8/16/2024,Credit,102538.03,IMPS
T000250,A00052,8/22/2024,Credit,498055.82,UPI
T000251,A00829,2/10/2024,Credit,453828.2,Branch
T000252,A01023,5/23/2025,Debit,339048.55,NEFT
T000253,A00298,1/3/2024,Debit,39389.43,IMPS
T000254,A00939,8/3/2025,Debit,81775.07,IMPS
T000255,A00656,9/26/2024,Debit,189976.79,UPI
T000256,A00320,4/15/2024,Debit,109513.65,Branch
T000257,A00009,12/24/2023,Debit,211007.59,ATM
T000258,A01119,12/24/2023,Debit,412601.17,Branch
T000259,A01040,12/4/2024,Debit,489774.15,UPI
T000260,A00679,10/29/2023,Debit,158946.19,Branch
T000261,A00606,2/11/2024,Credit,233917.08,ATM
T000262,A00971,11/11/2023,Credit,273101.78,IMPS
T000263,A00594,9/9/2024,Debit,488218.91,NEFT
T000264,A01175,7/31/2025,Debit,188052.96,NEFT
T000265,A00302,9/12/2024,Debit,95274.56,ATM
T000266,A01158,3/29/2024,Credit,223799.93,UPI
T000267,A00906,11/20/2023,Credit,445711.13,NEFT
T000268,A00694,3/15/2025,Debit,272639.88,Branch
T000269,A00231,9/30/2024,Credit,153618.41,Branch
T000270,A00981,11/26/2023,Debit,296318.26,Branch
T000271,A00083,3/1/2025,Debit,363020.72,NEFT
T000272,A00286,7/22/2024,Credit,84429.92,ATM
T000273,A01129,5/17/2025,Debit,289445.38,Branch
T000274,A00240,5/30/2024,Debit,23988.03,UPI
T000275,A00631,9/6/2025,Credit,432075,Branch
T000276,A00051,10/19/2024,Debit,147078.85,UPI
T000277,A00823,9/18/2023,Debit,21596.33,UPI
T000278,A00452,2/18/2024,Debit,408748.91,IMPS
T000279,A00914,4/2/2024,Debit,215636.76,UPI
T000280,A00732,3/24/2024,Credit,142451.84,IMPS
T000281,A00190,12/2/2023,Credit,26544.77,UPI
T000282,A00669,11/3/2024,Credit,225924.15,Branch
T000283,A00113,7/11/2024,Debit,341056.17,ATM
T000284,A00400,5/23/2025,Credit,416017.01,UPI
T000285,A01195,4/1/2025,Credit,199239.95,Branch
T000286,A01079,8/14/2025,Debit,267137.49,ATM
T000287,A00455,10/18/2023,Debit,463849.21,IMPS
T000288,A00570,10/8/2024,Credit,452530.89,UPI
T000289,A00401,9/26/2024,Credit,370484.14,NEFT
T000290,A00047,8/21/2024,Credit,249879.19,ATM
T000291,A00172,6/24/2025,Credit,256744.06,NEFT
T000292,A01103,8/19/2024,Credit,457593.75,Branch
T000293,A00913,8/29/2025,Credit,37681.76,IMPS
T000294,A00179,12/24/2023,Credit,416995.53,ATM
T000295,A01049,9/2/2025,Debit,319567.33,UPI
T000296,A00808,7/8/2025,Debit,439102.92,IMPS
T000297,A00399,11/15/2023,Credit,447143.69,IMPS
T000298,A01005,2/26/2024,Debit,294537.64,IMPS
T000299,A00651,1/7/2025,Credit,413678.66,IMPS
T000300,A01048,10/26/2024,Debit,51258.75,NEFT
T000301,A00115,9/2/2024,Debit,96773.36,UPI
T000302,A00740,12/14/2024,Debit,259760.3,IMPS
T000303,A00815,8/25/2024,Debit,486841.83,UPI
T000304,A00303,2/3/2025,Credit,85892.65,Branch
T000305,A00876,2/28/2024,Credit,273107.92,NEFT
T000306,A00758,1/27/2024,Debit,367300.53,NEFT
T000307,A00791,2/8/2024,Credit,245703.79,UPI
T000308,A00764,11/21/2024,Debit,365641.14,Branch
T000309,A00025,3/8/2024,Debit,303286.39,IMPS
T000310,A00583,10/15/2023,Credit,117008.87,NEFT
T000311,A00707,1/27/2024,Debit,213067.65,Branch
T000312,A00720,2/10/2025,Debit,413184.23,Branch
T000313,A00631,8/30/2025,Debit,437379.15,NEFT
T000314,A00913,7/24/2025,Credit,269726.01,ATM
T000315,A01149,1/30/2025,Debit,438333.87,IMPS
T000316,A00180,11/17/2024,Debit,424053.23,ATM
T000317,A00442,10/19/2023,Credit,88690.58,Branch
T000318,A00910,10/28/2023,Credit,340797.72,Branch
T000319,A00852,11/30/2024,Credit,159288.97,IMPS
T000320,A00907,8/17/2024,Credit,14675.56,NEFT
T000321,A00592,5/9/2025,Debit,114531.25,ATM
T000322,A00336,2/22/2024,Credit,375160.59,IMPS
T000323,A00869,1/12/2025,Debit,479887.72,IMPS
T000324,A00849,9/14/2025,Credit,11557.05,NEFT
T000325,A00286,4/17/2024,Debit,392825.28,IMPS
T000326,A00177,5/7/2024,Credit,294346.93,ATM
T000327,A00295,1/9/2024,Debit,359619.55,UPI
T000328,A00426,7/20/2024,Credit,214401.73,ATM
T000329,A00622,4/24/2024,Credit,340404.58,Branch
T000330,A00973,3/11/2024,Debit,497234.4,ATM
T000331,A01076,8/1/2024,Debit,226841.5,ATM
T000332,A00687,10/28/2024,Credit,350085.76,Branch
T000333,A00136,7/17/2024,Credit,201389.4,UPI
T000334,A00770,2/23/2024,Credit,469103.37,Branch
T000335,A00182,3/13/2024,Debit,118051.36,ATM
T000336,A00014,3/6/2024,Credit,202601.84,UPI
T000337,A00839,9/16/2023,Debit,389964.94,UPI
T000338,A00560,11/30/2024,Credit,73357.43,ATM
T000339,A00849,8/26/2024,Credit,396222.77,NEFT
T000340,A00359,9/9/2024,Debit,182606.65,NEFT
T000341,A01139,9/19/2023,Credit,1225.51,UPI
T000342,A00947,3/29/2025,Credit,270356.26,Branch
T000343,A01164,7/7/2024,Debit,42267.82,ATM
T000344,A00281,3/13/2025,Debit,420356.26,NEFT
T000345,A00409,2/22/2025,Debit,90306.44,NEFT
T000346,A00381,7/3/2025,Credit,314624.55,Branch
T000347,A00782,3/11/2024,Debit,164012.51,Branch
T000348,A00593,6/20/2025,Credit,79692.65,ATM
T000349,A01135,11/29/2023,Credit,496076.19,Branch
T000350,A01005,8/24/2025,Credit,339405.69,UPI
T000351,A00087,2/16/2024,Credit,329811.62,UPI
T000352,A00619,9/9/2024,Debit,7514.59,UPI
T000353,A01199,9/6/2024,Debit,167592,NEFT
T000354,A00623,9/25/2023,Credit,494437.8,UPI
T000355,A01012,5/7/2025,Credit,468535.68,UPI
T000356,A01146,2/2/2024,Debit,343405.07,UPI
T000357,A00950,1/19/2025,Credit,202526.85,UPI
T000358,A00460,3/22/2025,Debit,75255.22,ATM
T000359,A00055,8/31/2024,Debit,36523.8,UPI
T000360,A00006,12/25/2023,Credit,325685.71,UPI
T000361,A00316,3/15/2024,Debit,468539.85,NEFT
T000362,A00538,5/5/2024,Debit,36469.36,ATM
T000363,A00615,3/26/2025,Debit,285352.07,ATM
T000364,A00968,10/30/2023,Credit,163763.53,UPI
T000365,A00255,2/25/2025,Credit,199025.43,NEFT
T000366,A00590,8/7/2025,Credit,228417.19,NEFT
T000367,A00855,8/2/2024,Debit,297126.17,NEFT
T000368,A00368,9/12/2024,Debit,19813.47,ATM
T000369,A01008,10/28/2023,Debit,295357.29,ATM
T000370,A00502,7/22/2024,Credit,386308.19,Branch
T000371,A00059,1/4/2025,Debit,134331.89,UPI
T000372,A00245,3/15/2025,Debit,215037.54,NEFT
T000373,A00568,7/2/2025,Debit,304519.74,NEFT
T000374,A01010,7/3/2025,Debit,144473.16,NEFT
T000375,A00137,1/20/2024,Credit,273408.38,ATM
T000376,A00741,2/11/2025,Credit,8181.53,UPI
T000377,A01191,3/19/2024,Credit,79252.65,IMPS
T000378,A00985,9/9/2025,Debit,446099.06,Branch
T000379,A01159,1/23/2025,Credit,18990.29,Branch
T000380,A00894,7/18/2024,Debit,165507.73,Branch
T000381,A00529,5/21/2024,Credit,17052.13,Branch
T000382,A00975,7/7/2025,Debit,302622.75,NEFT
T000383,A00245,12/15/2024,Credit,364845.43,UPI
T000384,A00765,1/26/2024,Credit,331190.56,Branch
T000385,A01050,1/3/2024,Debit,271186.93,UPI
T000386,A01179,3/27/2024,Debit,487507.17,UPI
T000387,A00036,9/10/2024,Debit,299151.62,UPI
T000388,A00532,8/10/2024,Credit,345734.07,UPI
T000389,A00334,4/22/2025,Credit,253729.88,NEFT
T000390,A01192,1/20/2025,Credit,146004.62,UPI
T000391,A00120,2/27/2024,Credit,65081.09,IMPS
T000392,A00300,12/19/2024,Credit,441257.34,UPI
T000393,A00655,3/29/2024,Credit,168926.71,Branch
T000394,A00945,12/13/2023,Credit,367738.81,IMPS
T000395,A00278,5/29/2024,Debit,256151.6,UPI
T000396,A00732,12/27/2024,Debit,314795.06,ATM
T000397,A00335,6/7/2024,Debit,323670.65,Branch
T000398,A00109,10/11/2023,Debit,141854.61,ATM
T000399,A00559,1/26/2024,Debit,225986.64,NEFT
T000400,A00740,1/1/2025,Credit,272891.62,Branch
T000401,A00860,12/22/2024,Credit,228996.94,Branch
T000402,A00730,6/25/2025,Credit,405148.67,UPI
T000403,A00100,6/11/2024,Credit,456468.07,ATM
T000404,A00594,1/8/2025,Credit,347670.65,UPI
T000405,A00598,5/24/2024,Debit,220758.64,NEFT
T000406,A01085,3/31/2025,Credit,178533.24,NEFT
T000407,A00158,7/21/2024,Debit,89603.24,ATM
T000408,A01053,3/10/2024,Debit,447608.51,UPI
T000409,A00397,11/7/2023,Credit,200886.5,Branch
T000410,A00376,2/16/2024,Credit,195309.04,ATM
T000411,A00194,10/24/2024,Credit,98074.78,IMPS
T000412,A00343,6/30/2025,Debit,384576.74,NEFT
T000413,A01114,4/11/2025,Credit,328397.69,Branch
T000414,A00661,6/27/2025,Credit,13206.32,IMPS
T000415,A00648,1/9/2025,Credit,307829.88,NEFT
T000416,A00617,12/15/2024,Credit,137522.53,Branch
T000417,A00556,7/10/2024,Credit,390145.94,Branch
T000418,A00743,12/2/2024,Debit,481765.47,Branch
T000419,A00197,6/16/2025,Debit,31834.2,UPI
T000420,A01095,11/27/2024,Debit,313946.71,ATM
T000421,A01188,5/3/2024,Debit,486681.36,ATM
T000422,A00721,1/8/2024,Credit,247499.64,UPI
T000423,A00295,9/2/2024,Credit,266145.43,UPI
T000424,A00027,4/11/2025,Credit,192298.75,IMPS
T000425,A00281,6/14/2024,Debit,75043.55,IMPS
T000426,A01062,4/7/2025,Credit,311858.26,UPI
T000427,A00577,10/13/2023,Credit,457667.61,ATM
T000428,A00764,2/14/2025,Debit,252952.17,IMPS
T000429,A00994,5/12/2025,Debit,359298.02,IMPS
T000430,A00844,4/17/2024,Credit,77042.27,NEFT
T000431,A00697,6/20/2024,Credit,417060.64,Branch
T000432,A00334,2/2/2024,Credit,160126.13,NEFT
T000433,A00210,1/4/2024,Credit,288444.46,NEFT
T000434,A00447,2/8/2025,Debit,247004.19,UPI
T000435,A00317,9/5/2024,Debit,374907.26,ATM
T000436,A01031,12/9/2023,Credit,395284.95,ATM
T000437,A00453,4/6/2024,Credit,266117.12,IMPS
T000438,A00386,8/11/2024,Debit,340813.21,UPI
T000439,A01145,1/8/2025,Debit,427.25,Branch
T000440,A01077,10/7/2024,Credit,321810.37,NEFT
T000441,A01090,3/10/2024,Debit,341201.13,ATM
T000442,A01129,4/10/2025,Debit,396223.38,Branch
T000443,A00234,8/29/2024,Debit,184403.59,UPI
T000444,A00855,7/30/2025,Debit,347781.26,IMPS
T000445,A00944,5/12/2024,Debit,441521.93,NEFT
T000446,A00157,3/31/2024,Debit,331818.7,Branch
T000447,A00239,5/24/2025,Debit,433906.98,ATM
T000448,A00269,6/1/2025,Debit,377808.02,Branch
T000449,A00036,6/3/2024,Credit,195138.2,UPI
T000450,A00983,9/8/2025,Debit,363871.53,UPI
T000451,A00714,9/29/2023,Credit,166005.28,IMPS
T000452,A00639,12/18/2024,Debit,228372.06,IMPS
T000453,A00743,3/11/2024,Credit,19254.07,ATM
T000454,A00285,4/1/2024,Credit,336538.32,UPI
T000455,A00906,4/3/2025,Credit,84043.04,ATM
T000456,A01072,10/14/2023,Debit,449893.4,IMPS
T000457,A00701,3/3/2025,Credit,88036.01,NEFT
T000458,A00353,8/28/2025,Credit,373261.75,UPI
T000459,A00624,9/23/2024,Debit,426255.55,IMPS
T000460,A00059,11/6/2023,Debit,134234.39,UPI
T000461,A00243,12/1/2023,Credit,91359.76,IMPS
T000462,A00456,3/10/2025,Credit,261840.08,NEFT
T000463,A00264,7/20/2024,Credit,230396.84,IMPS
T000464,A00292,3/23/2025,Credit,197094.1,NEFT
T000465,A00465,7/7/2025,Debit,70263.04,UPI
T000466,A00630,12/7/2023,Debit,413251.56,Branch
T000467,A00257,3/25/2025,Credit,305732.57,IMPS
T000468,A00430,2/11/2024,Debit,92925.88,NEFT
T000469,A00267,4/24/2024,Credit,123387.73,IMPS
T000470,A00161,9/25/2023,Debit,475824.76,ATM
T000471,A00871,10/7/2023,Debit,341794.44,UPI
T000472,A00229,3/21/2024,Debit,369706.33,ATM
T000473,A00160,5/8/2025,Credit,423386.88,Branch
T000474,A00039,6/29/2024,Debit,394788.59,IMPS
T000475,A00992,6/2/2024,Credit,415171.15,ATM
T000476,A00884,2/5/2024,Credit,111176.36,IMPS
T000477,A00088,9/23/2023,Credit,470308.55,UPI
T000478,A00403,11/7/2024,Debit,273136.43,ATM
T000479,A00221,10/7/2024,Credit,450768.79,ATM
T000480,A00068,3/7/2024,Debit,286339.98,Branch
T000481,A01052,1/14/2024,Credit,51641,Branch
T000482,A00122,3/24/2025,Debit,202510.04,UPI
T000483,A00961,3/24/2025,Credit,130438.13,Branch
T000484,A00244,8/14/2025,Debit,342266.18,NEFT
T000485,A00519,12/5/2024,Debit,458006.96,NEFT
T000486,A00089,11/27/2023,Debit,93382.24,UPI
T000487,A00136,1/15/2025,Debit,380772.95,NEFT
T000488,A00618,5/23/2025,Debit,361238.18,ATM
T000489,A00022,6/17/2025,Credit,466087.34,UPI
T000490,A00198,8/30/2025,Debit,89031.5,UPI
T000491,A00254,12/22/2023,Debit,472517.69,ATM
T000492,A00421,12/3/2023,Credit,194599.36,ATM
